level;question;rep1;rep2;rep3;rep4;rep5;answer;qtype
1;Le sexisme dans son ensemble est un problème de société.;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Quel que soit le genre d'une personne, cette dernière est traitée de manière égale dans son monde professionnel.;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les blagues envers les lesbiennes, et toues personnes se référant au genre féminin sont souvent dites inonffensives ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les hommes sont les principaux piliers financiers dans les relations ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les femmes sont des êtres qui ont besoin de protéction ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Dans les médias, l'orientation sexuelle des personnes transgenres, et des femmes cisgenres sont représentées de manière stéréotypée ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Le sexisme dans l'ensemble de ses formes (hostile, bienveillant, moderne) ne conercene pas les personnes non binaires ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Si les hommes ont un comportement agressif c'est à cause des femmes;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Le féminisme est un mouvement excluant les hommes, ainsi que les femmes transgenres ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Le sexisme n'est pas présent au sein des centres LGBTQIA+ ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Toute personne qui ne se conforme pas aux normes de genre est stigmatisée;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les femmes n'ont pas besoin d'être représentées dans des postes à fonction (direction, politiques…) ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les femmes sont plus gentilles et douces que les hommes;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;L'homophobie est renforcé à cause du sexisme ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Le sexisme n'existe pas dans la société ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les hommes eux-mêmes ne peuvent pas être concernés par la question du sexisme ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les femmes qui réussisent dans les domaines dominés par les hommes sont souvent perçues comme des menaces ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Dans un cadre associatif, professionnel, etc. Les  femmes sont préservées car fragiles par rapport à la gente masculine ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les femmes devraient se conformer à des rôles traditionnels dans la société ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Les compliments sur l'apparence d'une femme sont souvent plus valorisants que les compliments sur ses compétences ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Il est courant d'entendre rque les femmes trangenres, sont plus sexistes que les hommes ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
1;Une femme parfaite doit être  valorisée par la personne partageant sa vie ;pas du tout d'accord ;légèrement pas d'accord ;légèrement d'accord;plutôt d'accord;tout à fait d'accord  ;0;echelle
